0.057, 116, 67
0.102, 115, 68
0.146, 116, 68
0.188, 115, 67
0.231, 115, 66
0.28, 116, 66
0.329, 115, 69
0.369, 116, 65
0.411, 115, 65
0.456, 116, 66
0.503, 115, 64
0.548, 115, 67
0.595, 115, 65
0.638, 115, 65
0.677, 115, 62
0.72, 115, 60
0.767, 115, 63
0.809, 115, 65
0.852, 115, 67
0.9, 115, 67
0.949, 115, 66
0.995, 115, 67
1.038, 115, 61
1.087, 115, 64
1.131, 116, 67
1.174, 115, 68
1.221, 115, 65
1.266, 115, 66
1.309, 115, 69
1.351, 115, 68
1.391, 115, 62
1.437, 115, 64
1.48, 115, 67
1.524, 115, 68
1.571, 115, 65
1.618, 115, 66
1.665, 115, 69
1.706, 115, 68
1.753, 115, 65
1.796, 115, 64
1.839, 115, 67
1.882, 115, 66
1.928, 115, 66
1.976, 115, 65
2.016, 115, 68
2.061, 115, 67
2.114, 116, 70
2.164, 115, 66
2.21, 115, 65
2.251, 115, 67
2.296, 116, 67
2.335, 116, 71
2.378, 115, 68
2.425, 115, 65
2.466, 115, 63
2.515, 115, 68
2.558, 115, 65
2.601, 115, 63
2.644, 115, 67
2.691, 115, 67
2.733, 115, 69
2.776, 115, 68
2.818, 115, 67
2.861, 115, 64
2.903, 115, 61
2.947, 115, 65
2.992, 115, 67
3.041, 115, 65
3.088, 115, 65
3.134, 115, 68
3.182, 115, 65
3.225, 115, 67
3.267, 115, 68
3.312, 115, 74
3.36, 116, 76
3.408, 115, 72
3.454, 111, 79
3.499, 111, 75
3.543, 112, 78
3.589, 108, 78
3.635, 104, 82
3.685, 109, 83
3.729, 110, 83
3.775, 112, 78
3.821, 114, 78
3.867, 112, 81
3.912, 111, 78
3.96, 109, 76
4.007, 108, 84
4.056, 106, 81
4.099, 107, 76
4.144, 110, 80
4.201, 110, 83
4.246, 111, 84
4.295, 111, 79
4.341, 109, 77
4.394, 111, 77
4.441, 108, 79
4.491, 111, 77
4.537, 111, 78
4.585, 112, 83
4.632, 109, 79
4.68, 109, 77
4.725, 107, 78
4.771, 106, 73
4.816, 110, 77
4.862, 120, 79
4.91, 102, 82
4.953, 106, 82
5, 106, 85
5.047, 109, 79
5.093, 109, 79
5.141, 112, 81
5.192, 111, 82
5.237, 111, 82
5.296, 110, 76
5.34, 110, 79
5.391, 109, 83
5.437, 109, 81
5.483, 108, 77
5.53, 108, 78
5.574, 108, 82
5.623, 109, 78
5.667, 110, 82
5.714, 114, 83
5.757, 114, 77
5.801, 112, 78
5.852, 111, 83
5.901, 110, 82
5.949, 110, 86
5.994, 110, 84
6.041, 114, 86
6.086, 102, 87
6.136, 111, 83
6.183, 110, 92
6.23, 110, 91
6.28, 107, 88
6.335, 109, 88
6.383, 111, 90
6.433, 115, 96
6.483, 112, 93
6.531, 111, 98
6.575, 112, 99
6.623, 112, 94
6.669, 111, 97
6.713, 111, 91
6.765, 110, 102
6.812, 111, 98
6.856, 111, 99
6.904, 108, 108
6.95, 109, 101
6.993, 108, 95
7.041, 107, 101
7.089, 107, 105
7.136, 107, 109
7.184, 104, 96
7.233, 107, 111
7.278, 103, 108
7.324, 101, 110
7.377, 97, 105
7.424, 89, 105
7.473, 83, 115
7.52, 95, 108
7.565, 107, 108
7.611, 110, 116
7.654, 109, 125
7.7, 106, 112
7.745, 102, 107
7.796, 103, 124
7.846, 114, 121
7.894, 108, 122
7.942, 109, 118
7.99, 99, 119
8.034, 79, 115
8.082, 47, 123
8.127, 40, 128
8.174, 45, 115
8.224, 62, 124
8.269, 93, 116
8.316, 104, 107
8.363, 109, 117
8.422, 109, 121
8.465, 110, 104
8.511, 112, 113
8.557, 117, 118
8.601, 119, 118
8.648, 119, 117
8.695, 119, 111
8.742, 118, 113
8.789, 118, 111
8.833, 117, 112
8.878, 117, 114
8.924, 118, 113
8.971, 117, 109
9.021, 116, 111
9.069, 117, 110
9.113, 115, 111
9.161, 115, 110
9.205, 112, 111
9.254, 114, 107
9.302, 115, 100
9.35, 116, 99
9.393, 114, 109
9.449, 114, 108
9.492, 111, 94
9.539, 104, 98
9.584, 98, 102
9.63, 76, 107
9.676, 66, 101
9.722, 81, 104
9.773, 106, 105
9.819, 115, 99
9.871, 110, 100
9.915, 115, 103
9.961, 115, 98
10.009, 117, 93
10.055, 119, 94
10.104, 119, 102
10.153, 117, 98
10.2, 118, 94
10.248, 117, 94
10.294, 118, 95
10.337, 117, 96
10.386, 118, 95
10.432, 115, 97
10.479, 116, 92
10.535, 116, 99
10.581, 114, 94
10.629, 112, 89
10.673, 114, 95
10.722, 116, 93
10.769, 116, 87
10.814, 115, 86
10.858, 117, 91
10.903, 117, 93
10.952, 114, 93
10.996, 109, 81
11.044, 104, 92
11.093, 94, 92
11.141, 90, 82
11.188, 92, 89
11.236, 100, 91
11.281, 104, 81
11.327, 107, 85
11.372, 107, 88
11.418, 109, 91
11.467, 111, 89
11.513, 112, 83
11.565, 112, 96
11.612, 115, 86
11.664, 116, 84
11.711, 116, 85
11.757, 115, 83
11.801, 116, 89
11.852, 115, 92
11.899, 116, 94
11.943, 117, 87
11.995, 115, 90
12.04, 112, 87
12.084, 115, 86
12.13, 116, 87
12.18, 117, 87
12.223, 118, 91
12.273, 118, 87
12.32, 119, 87
12.365, 119, 90
12.413, 116, 90
12.461, 117, 87
12.509, 118, 87
12.559, 114, 88
